attribute,BF_RUD,BF_RUD,BF_RUD,BF_INT,BF_INT,BF_INT,BF_ADV,BF_ADV,BF_ADV,CHH_RUD,CHH_RUD,CHH_RUD,CHH_INT,CHH_INT,CHH_INT,CHH_ADV,CHH_ADV,CHH_ADV,FC_RUD,FC_RUD,FC_RUD,FC_INT,FC_INT,FC_INT,FC_ADV,FC_ADV,FC_ADV,MSW_RUD,MSW_RUD,MSW_RUD,MSW_INT,MSW_INT,MSW_INT,MSW_ADV,MSW_ADV,MSW_ADV,MSL_RUD,MSL_RUD,MSL_RUD,MSL_INT,MSL_INT,MSL_INT,MSL_ADV,MSL_ADV,MSL_ADV,EMP_UN,EMP_UN,EMP_UN,EMP_AL,EMP_AL,EMP_AL,EMP_NAL,EMP_NAL,EMP_NAL
salient_info,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance
234,86.78,93.78,45.7,0.0,0.12,45.7,13.22,6.1,45.7,14.94,14.74,45.7,49.43,40.01,45.7,35.63,45.25,45.7,14.37,13.87,45.7,81.03,84.86,45.7,4.6,1.27,45.7,1.15,1.09,45.7,95.4,97.52,45.7,3.45,1.38,45.7,55.17,77.43,45.7,33.33,16.7,45.7,11.49,5.87,45.7,86.21,87.62,45.7,5.17,8.23,45.7,8.62,4.15,45.7
235,93.75,94.81,29.35,1.14,0.29,29.35,5.11,4.9,29.35,11.36,14.82,29.35,40.91,36.83,29.35,47.73,48.35,29.35,13.64,17.45,29.35,85.8,81.93,29.35,0.57,0.63,29.35,2.27,2.17,29.35,96.59,96.18,29.35,1.14,1.65,29.35,80.68,92.08,29.35,14.2,6.39,29.35,5.11,1.54,29.35,80.11,83.58,29.35,13.64,13.11,29.35,6.25,3.31,29.35
236,90.74,94.14,44.6,1.48,1.41,44.6,7.78,4.45,44.6,10.37,10.91,44.6,37.04,28.4,44.6,52.59,60.69,44.6,24.81,36.75,44.6,73.33,62.77,44.6,1.85,0.48,44.6,3.7,10.06,44.6,94.07,88.46,44.6,2.22,1.48,44.6,82.59,93.13,44.6,10.74,4.71,44.6,6.67,2.15,44.6,71.11,67.3,44.6,22.96,28.84,44.6,5.93,3.86,44.6
237,92.78,96.88,35.16,0.0,0.52,35.16,7.22,2.6,35.16,7.22,4.17,35.16,35.05,31.56,35.16,57.73,64.27,35.16,16.49,28.96,35.16,82.47,70.42,35.16,1.03,0.62,35.16,2.06,6.67,35.16,96.91,92.6,35.16,1.03,0.73,35.16,90.72,97.08,35.16,6.19,2.08,35.16,3.09,0.83,35.16,74.23,69.17,35.16,24.74,28.33,35.16,1.03,2.5,35.16
238,97.78,97.69,33.51,0.74,0.97,33.51,1.48,1.34,33.51,5.93,10.43,33.51,31.11,23.7,33.51,62.96,65.87,33.51,54.81,63.04,33.51,44.44,36.74,33.51,0.74,0.22,33.51,31.85,66.62,33.51,66.67,32.71,33.51,1.48,0.67,33.51,78.52,94.71,33.51,18.52,4.4,33.51,2.96,0.89,33.51,50.37,48.81,33.51,19.26,39.34,33.51,30.37,11.85,33.51
239,92.73,91.87,18.74,0.0,0.55,18.74,7.27,7.58,18.74,7.27,6.28,18.74,30.91,39.0,18.74,61.82,54.71,18.74,9.09,8.87,18.74,89.09,90.39,18.74,1.82,0.74,18.74,1.82,0.74,18.74,98.18,99.08,18.74,0.0,0.18,18.74,80.0,91.5,18.74,14.55,6.84,18.74,5.45,1.66,18.74,81.82,85.95,18.74,16.36,11.65,18.74,1.82,2.4,18.74
240,86.67,94.65,32.66,0.0,0.0,32.66,13.33,5.35,32.66,10.0,8.03,32.66,23.33,38.8,32.66,66.67,53.18,32.66,6.67,3.68,32.66,93.33,95.99,32.66,0.0,0.33,32.66,0.0,0.0,32.66,100.0,99.0,32.66,0.0,1.0,32.66,100.0,99.67,32.66,0.0,0.33,32.66,0.0,0.0,32.66,83.33,84.62,32.66,16.67,15.05,32.66,0.0,0.33,32.66
370,93.33,94.88,31.12,0.0,2.18,31.12,6.67,2.94,31.12,5.83,6.38,31.12,40.83,23.66,31.12,53.33,69.97,31.12,89.17,94.71,31.12,10.83,5.29,31.12,0.0,0.0,31.12,3.33,4.36,31.12,83.33,85.32,31.12,13.33,10.32,31.12,11.67,46.39,31.12,70.83,45.97,31.12,17.5,7.63,31.12,41.67,29.7,31.12,42.5,64.18,31.12,15.83,6.12,31.12
371,88.89,97.18,28.77,0.0,0.28,28.77,11.11,2.54,28.77,8.33,11.3,28.77,22.22,15.54,28.77,69.44,73.16,28.77,66.67,89.83,28.77,25.0,8.76,28.77,8.33,1.41,28.77,25.0,15.82,28.77,66.67,80.23,28.77,8.33,3.95,28.77,19.44,25.42,28.77,63.89,62.71,28.77,16.67,11.86,28.77,41.67,37.57,28.77,11.11,29.38,28.77,47.22,33.05,28.77
372,95.08,98.52,40.33,1.64,0.66,40.33,3.28,0.82,40.33,10.66,9.4,40.33,11.48,15.09,40.33,77.87,75.52,40.33,92.62,98.43,40.33,5.74,1.24,40.33,1.64,0.33,40.33,26.23,28.94,40.33,66.39,67.27,40.33,7.38,3.79,40.33,30.33,57.96,40.33,51.64,35.86,40.33,18.03,6.18,40.33,25.41,27.54,40.33,24.59,55.81,40.33,50.0,16.65,40.33
