,From,To,Mid,District,Floor,Top,EMP_NAL,EMP_AL,EMP_UN,MSL_RUD,MSL_INT,EMP_ADV
192,0,0.2,0.1,224,0.7767811923,11.1937534205,0.1263402224,0.0975451582,0.860997461,0.0007745068,0.6588737242,0.3403758624
193,0,0.2,0.1,225,2.2029764878,16.8472076282,0.045988762,0.1946247552,0.7641190432,0.0006827133,0.8026603478,0.1966540366
194,0,0.2,0.1,226,0.2700126382,11.9625711614,0.1087153316,0.0752102998,0.8843443782,0.0010076598,0.6863260481,0.312506582
195,0,0.2,0.1,227,0.0322775774,6.9892098854,0.0512822838,0.1249909315,0.854496155,0.0020934928,0.7427528893,0.2554221343
196,0,0.2,0.1,228,0.7416648982,6.3160970716,0.0681985144,0.1919571191,0.8028324218,0.0008577141,0.8075753416,0.1913742086
197,0,0.2,0.1,229,1.3394533386,12.5607566815,0.0685562986,0.2406822998,0.7981767337,0.0007358339,0.7948181012,0.2044859396
198,0,0.2,0.1,230,5.5100530247,21.0078680747,0.104457402,0.1833505439,0.8324510664,0.001296153,0.4849466612,0.5137074888
199,0,0.2,0.1,231,0.4415697401,11.2637360261,0.0628054644,0.146244096,0.8533876911,0.0015636361,0.9311722087,0.0671279684
200,0,0.2,0.1,232,0.5721478818,11.8791340968,0.0867847228,0.140316707,0.8423591833,0.0009747881,0.7785817892,0.2204343872
201,0,0.2,0.1,233,1.4565118352,11.2326440366,0.0507173554,0.1616950177,0.8627220289,0.0022159508,0.8137740672,0.1840787194
202,0,0.2,0.1,234,0.2098968993,14.6240324748,0.0720984437,0.1361612498,0.8341260391,0.0012565194,0.81134373,0.187441303
203,0,0.2,0.1,235,0.4590504324,13.9112667647,0.0603108422,0.1608949088,0.831334036,0.0005117308,0.8742685937,0.1252647891
204,0,0.2,0.1,236,1.8370185918,17.9532490973,0.0742141309,0.2056480752,0.7791108264,0.0013288197,0.871640296,0.1270096428
205,0,0.2,0.1,237,0.4685331146,11.2029026409,0.0749836721,0.2210971348,0.781687332,0.0003942126,0.8810092978,0.1185364353
206,0,0.2,0.1,238,0.4230007993,12.9601306494,0.1698865193,0.1915300428,0.6929417024,0.0003111376,0.9029680344,0.0968053763
207,0,0.2,0.1,239,2.2341539427,7.7957137312,0.0646767405,0.2142626554,0.8148909224,0.0005976447,0.901617966,0.0977301992
208,0,0.2,0.1,240,2.1382491888,8.1881349618,0.0437162362,0.2288057135,0.8114921714,5.86148311013392E-05,0.9471660504,0.0526377673
209,0,0.2,0.1,370,0.9720703372,18.315230419,0.1219712784,0.2545442039,0.5515697615,0.0095444595,0.4932403068,0.4972774416
210,0,0.2,0.1,371,0.8773159549,14.1378179814,0.2548533136,0.0914392409,0.6527994475,0.018464691,0.3576550486,0.6238503854
211,0,0.2,0.1,372,0.2563869132,19.8370025308,0.2119065518,0.1867890393,0.5528496254,0.0128804038,0.4958561125,0.4912070327
212,0,0.2,0.1,373,0.8946342994,10.742864201,0.0943275612,0.2290221295,0.5682215579,0.0100094248,0.7060553708,0.2839303534
213,0,0.2,0.1,374,0.3278460442,26.7496534143,0.0930509169,0.1693859997,0.5521466827,0.0066882527,0.7028078592,0.2904552632
214,0,0.2,0.1,375,0.8919737891,21.6164327423,0.1066317197,0.1734254662,0.6210050576,0.0057648703,0.7568635153,0.2373725895
215,0,0.2,0.1,376,2.6438916222,21.5730878288,0.1180859073,0.1387315511,0.5542491322,0.0044184401,0.8034168374,0.1921275418
216,0,0.2,0.1,377,2.0367819625,16.9311666891,0.148812238,0.1635684342,0.72852541,0.0143001511,0.3878936869,0.5978359209
217,0,0.2,0.1,378,2.5012890731,13.3040322401,0.0939820506,0.1475708631,0.7757924806,0.0164701746,0.3920304176,0.5914515414
218,0,0.2,0.1,379,0.2585158038,12.0672475226,0.0995695455,0.1696577924,0.753785992,0.0093325457,0.433791838,0.5568757037
219,0,0.2,0.1,380,1.3631327128,10.1250001587,0.1325413391,0.1442224698,0.7029498386,0.0078847114,0.4462292673,0.5459327466
220,0,0.2,0.1,381,3.0806041265,17.3334251199,0.1836216724,0.115391805,0.7037615285,0.014387128,0.3694053879,0.6161585493
221,0,0.2,0.1,382,0.0498620855,10.5062735672,0.1505456899,0.1103926567,0.7930087681,0.0073973145,0.4460792061,0.546395215
222,0,0.2,0.1,383,0.8468253483,16.2536110357,0.1639213748,0.112370285,0.7333498051,0.0066910497,0.4961149458,0.4972501026
223,0,0.2,0.1,384,1.4083591939,15.9142174001,0.2076796941,0.0799055661,0.7447241495,0.0198373814,0.4625500843,0.5176807084
224,0,0.2,0.1,385,0.776614222,13.913338768,0.1137468433,0.1446615047,0.7414589384,0.0160233974,0.4549395363,0.528965742
225,0,0.2,0.1,386,0.7292311056,14.4379019815,0.1595823331,0.1126883067,0.7601111575,0.0186753952,0.4450227333,0.5363558088
226,0,0.2,0.1,387,5.1673987251,21.1137029491,0.1260549898,0.168454076,0.7082323793,0.0131851877,0.4765939699,0.5101955801
227,0,0.2,0.1,388,1.3671522041,25.2864763408,0.1702057569,0.1402684341,0.6506214253,0.0226835727,0.4115119299,0.5657879716
228,0,0.2,0.1,389,1.0929751433,21.357114824,0.0909370709,0.2664188645,0.546451063,0.0019963844,0.502053574,0.4959728256
229,0,0.2,0.1,390,0.8997271162,19.0952156104,0.0848755446,0.137580346,0.5837862905,0.0128532679,0.8387067306,0.1484458864
230,0,0.2,0.1,391,29.2447078328,53.5356903484,0.0880830514,0.2309360632,0.5791619676,0.0136609228,0.8561709274,0.1301445399
231,0,0.2,0.1,392,2.5377388236,15.074517357,0.1157855547,0.1944176777,0.6223774692,0.0202004416,0.6296015571,0.350225153
232,0,0.2,0.1,393,0.7512202637,22.1862700024,0.0854112638,0.2023379137,0.6180298045,0.0103008606,0.7570387528,0.2327005958
233,0,0.2,0.1,394,1.4982446313,19.7822251188,0.0567666249,0.229064944,0.5630860303,0.0096128197,0.6566395619,0.3337695972
234,0,0.2,0.1,395,1.6857810289,21.7355667428,0.0999147825,0.1951965395,0.6033234812,0.0154739802,0.7820546957,0.2024462111
235,0,0.2,0.1,396,0.8291660265,22.2601008386,0.087075594,0.1936130236,0.5865867948,0.0038026926,0.7581620228,0.2379820061
236,0,0.2,0.1,397,0.6764948092,17.4428260865,0.049419172,0.2229434913,0.5995844483,0.0006136774,0.9286770606,0.0708192559
237,0,0.2,0.1,398,1.4284236115,21.7577884524,0.1197069588,0.2360266137,0.583682769,0.0165270886,0.7531178266,0.2303477529
238,0,0.2,0.1,399,0.2751661509,21.3239114065,0.0416036813,0.3462897919,0.5871198648,0.0042029392,0.8696027493,0.1262096268
239,0,0.2,0.1,468,1.7582731874,34.379824683,0.2330345315,0.1530737107,0.7545886751,0.0083903424,0.0500809673,0.9414076941
240,0,0.2,0.1,469,0.9016000362,23.3795032077,0.1571230919,0.1984038122,0.7521856162,0.0128494539,0.129456688,0.8578110486
241,0,0.2,0.1,470,0.1880911498,18.0576164376,0.0908482083,0.3165401961,0.6248332478,0.0117761971,0.2250706597,0.7631072615
242,0,0.2,0.1,471,2.365574362,17.624493572,0.1523023745,0.2429455319,0.6771578873,0.0118834203,0.099635381,0.8884746433
243,0,0.2,0.1,472,2.2190266314,25.0001219673,0.1613594632,0.2304289631,0.654914815,0.0076864973,0.0451721455,0.947162078
244,0,0.2,0.1,473,3.2354958119,14.0919384976,0.1952158834,0.172087059,0.713852337,0.0116477623,0.0762186628,0.912087987
245,0,0.2,0.1,474,6.0376032493,41.4592229517,0.1881054545,0.1789028077,0.7139818409,0.0111242027,0.0601563795,0.9287932403
246,0,0.2,0.1,475,3.1492380871,29.1420776627,0.0895913302,0.3219798704,0.6301034711,0.00956702,0.0769456844,0.9136060477
247,0,0.2,0.1,476,0.8776500024,27.9590741122,0.2436066373,0.1840485509,0.6622792218,0.0063262178,0.0622201175,0.9314514678
248,0,0.2,0.1,477,1.4619007101,28.5954761497,0.1561009786,0.248988632,0.673315705,0.0105200968,0.0669504758,0.9225508572
249,0,0.2,0.1,478,1.8370558505,13.476827327,0.108454374,0.2668317331,0.666431543,0.0045152389,0.070223582,0.9254132149
250,0,0.2,0.1,479,2.4737237072,25.2917012316,0.10551735,0.3356116682,0.5665214272,0.0052528858,0.0430058853,0.9516691037
251,0,0.2,0.1,480,3.6231029761,21.9076276167,0.1174391319,0.2770973395,0.5828935513,0.00453847,0.0326221398,0.9629898722
252,0,0.2,0.1,481,0.7847039586,32.0425566082,0.1884533442,0.2257290709,0.6899170647,0.0128956854,0.0928068903,0.8942058995
253,0,0.2,0.1,482,0.7021432825,14.3439763506,0.1301623681,0.2510554175,0.695623056,0.0223073005,0.1062727783,0.8714108883
254,0,0.2,0.1,483,2.7459480031,19.8366483858,0.0892933444,0.2612018762,0.6893336726,0.0210759773,0.181457344,0.7974907861
255,0,0.2,0.1,484,1.5148556245,23.2882468102,0.0711735305,0.2591809978,0.6451739032,0.0113720196,0.1272564253,0.8614693674
256,0,0.2,0.1,485,0.2082420025,17.0420188965,0.0752071443,0.2440796511,0.682828922,0.0199284864,0.2726304465,0.7074431837
257,0,0.2,0.1,486,1.5159045335,28.8962019628,0.0915468489,0.3219554703,0.6280437025,0.0126464163,0.0894527474,0.8979332772
258,0,0.2,0.1,487,2.2461067772,14.1040590548,0.0678491292,0.3122876376,0.6045838231,0.0090457781,0.074428697,0.9164986381
259,0,0.2,0.1,488,1.0020205727,16.2089865224,0.2648829405,0.1161655258,0.7001956886,0.0034350393,0.0448251069,0.9517687797
260,0,0.2,0.1,489,2.2255709757,10.916420516,0.1337355035,0.2663848133,0.6680759333,0.0094107256,0.2428952872,0.748176853
261,0,0.2,0.1,490,1.2248094385,10.4497225871,0.2497663983,0.1704157318,0.6474752541,0.0061967668,0.0927602202,0.9007934839
262,0,0.2,0.1,491,0.8016618573,14.9623434947,0.0852032944,0.2865115066,0.5675858922,0.0077617719,0.1613378142,0.8309952343
263,0,0.2,0.1,492,6.0465139706,19.7136775364,0.3728361414,0.1105472976,0.6258350118,0.0089154399,0.0563399241,0.9347073314
264,0,0.2,0.1,493,1.8445125424,12.4047250639,0.1034812465,0.3879423994,0.4622756313,0.0109436376,0.1874160081,0.8016884263
265,0,0.2,0.1,497,0.988455175,25.0625613452,0.0673132207,0.4494455852,0.5581077239,0.0197192272,0.298306076,0.68196017
266,0,0.2,0.1,498,0.7888527138,23.8332853583,0.1577379335,0.254631972,0.6654422065,0.0100152922,0.1327319336,0.857259072
267,0,0.2,0.1,499,1.4814305006,28.0573405766,0.1199973682,0.320210645,0.6396627794,0.0220414778,0.1628964446,0.815145931
268,0,0.2,0.1,500,1.2141248841,26.3721606855,0.0682488744,0.4427074055,0.5833489927,0.0116581062,0.2047232826,0.7836214615
269,0,0.2,0.1,501,0.5171235493,25.3332370782,0.183268344,0.2406640776,0.6609059487,0.0088664881,0.1465301364,0.8446343577
270,0,0.2,0.1,502,1.3059008761,19.0523225578,0.0439903681,0.4507327141,0.5633642931,0.0107544259,0.2303429971,0.7589425315
271,0,0.2,0.1,503,1.414873334,34.1521939953,0.067799031,0.3673442571,0.6055904879,0.0078922746,0.1696639577,0.8223562543
272,0,0.2,0.1,504,0.9024563447,18.0972747673,0.2264244719,0.1900555962,0.6441100504,0.0065817294,0.071865978,0.9214836101
273,0,0.2,0.1,505,2.8881776886,23.8748668787,0.2821960741,0.0961331021,0.6956707187,0.0092731003,0.0712037584,0.9195499087
274,0,0.2,0.1,506,0.9548486235,15.2256003237,0.1622452621,0.2168074378,0.5980151722,0.0110240403,0.1336114565,0.8553410951
275,0,0.2,0.1,507,7.8843672482,25.054156027,0.1122232379,0.2777163707,0.5433123869,0.0105939514,0.1762094464,0.8132812948
276,0,0.2,0.1,508,0.8387768543,32.4114701353,0.0862191732,0.3442297057,0.4800970119,0.0168267693,0.2851719218,0.6980074868
277,0,0.2,0.1,509,3.6359253862,28.9813428,0.2105602707,0.1797774018,0.6210670184,0.0120925747,0.1363602431,0.8514091751
278,0,0.2,0.1,510,1.3300961306,33.0355301569,0.042918708,0.5068208936,0.4959417157,0.0148875677,0.3700066513,0.6150536064
279,0,0.2,0.1,511,1.8337223442,22.6969018788,0.1291184043,0.3120687418,0.6738150449,0.0182556314,0.2296706474,0.752014469
280,0,0.2,0.1,512,1.1554891538,17.418771368,0.0507719242,0.5107751074,0.5470635047,0.0184723352,0.3370276374,0.6444342308
281,0,0.2,0.1,513,2.1705177849,21.5593814883,0.0603686466,0.4767518492,0.5819139661,0.0154756931,0.2658160072,0.7186140511
282,0,0.2,0.1,514,1.8467761474,24.6154105197,0.0770955096,0.4781723083,0.573794487,0.0150280535,0.2502557163,0.7346825369
283,0,0.2,0.1,515,0.3567159878,15.0329943441,0.3145175082,0.0676406616,0.7634827114,0.0046204545,0.0498306396,0.9455286281
284,0,0.2,0.1,516,1.4898271766,34.0786864935,0.1185108294,0.4118307862,0.5735596742,0.0092454231,0.2161822961,0.7746302831
285,0,0.2,0.1,517,0.8613763863,10.8495683356,0.4035501622,0.0397512765,0.6465196501,0.0050847994,0.0353078666,0.9592886701
286,0,0.2,0.1,520,0.6764608199,25.7279436004,0.2171344278,0.1467956437,0.6213376945,0.0072808916,0.0695537185,0.9232271009
287,0,0.2,0.1,521,2.4642896739,27.6750281149,0.3593845212,0.0964302853,0.6684541146,0.0031712375,0.0232719175,0.9735320374
288,0,0.2,0.1,522,1.6253490112,38.6010806278,0.224336992,0.2591577385,0.6111986305,0.0112287483,0.1552472697,0.8337372055
289,0,0.2,0.1,523,0.9872644352,24.5767128908,0.1256492661,0.3816677232,0.6043027238,0.0153459382,0.2148613226,0.7700511298
290,0,0.2,0.1,524,1.5295293824,21.9699763692,0.0991898359,0.3950710413,0.6292946709,0.0105485246,0.1526663657,0.8368306064
291,0,0.2,0.1,525,0.1240032727,24.5979798395,0.0858151736,0.4379685359,0.5792487088,0.0225651374,0.2501904841,0.7271963618
292,0,0.2,0.1,526,3.1500613778,32.7312143316,0.1092636638,0.3881181135,0.6189671352,0.0141552427,0.3412346062,0.6445906131
293,0,0.2,0.1,527,0.4367330257,22.6066007829,0.2008961026,0.2036792883,0.6418454354,0.0075152015,0.0685922575,0.9237895905
294,0,0.2,0.1,528,1.2762927941,27.7052492629,0.1723264093,0.2086732262,0.6054747288,0.0050253149,0.0527629484,0.9421943183
295,0,0.2,0.1,529,0.978702501,16.9841754557,0.1463632907,0.1343666832,0.6470271693,0.0041400129,0.0393522075,0.9563824904
296,0,0.2,0.1,530,1.7012586245,22.4028649743,0.2435111888,0.1673434539,0.6667909946,0.0041704644,0.044265565,0.9517180147
297,0,0.2,0.1,531,1.5284502424,27.9109037362,0.1458901116,0.2784448449,0.6431639891,0.007104677,0.1263601589,0.866451651
298,0,0.2,0.1,555,5.7051712235,25.651069572,0.1612492903,0.2519305736,0.6224301653,0.0068813717,0.093422433,0.8996720796
299,0,0.2,0.1,556,0.4028335713,20.5583916255,0.1469086839,0.2779678338,0.621766953,0.0034588457,0.116912377,0.8795765768
300,0,0.2,0.1,557,0.9815242118,32.6703972774,0.1005708136,0.3319660839,0.6498073894,0.0039104462,0.2384857682,0.7575779074
301,0,0.2,0.1,558,4.6428378758,28.7710284656,0.1488402764,0.2540643547,0.6451095338,0.0106544162,0.1171407916,0.8722479267
302,0,0.2,0.1,559,5.4736604632,27.9949013191,0.0882745025,0.3888893377,0.5768463235,0.0091109532,0.0734271503,0.9174350552
303,0,0.2,0.1,560,0.4928196837,19.9651047108,0.1502471616,0.2986389184,0.6046678554,0.006794327,0.1381722419,0.8550326271
304,0,0.2,0.1,561,1.5970709039,21.2826840875,0.1079576374,0.3750142026,0.5479628998,0.0009342095,0.0541123142,0.9447772384
305,0,0.2,0.1,562,5.1548512483,15.7980846568,0.1459382196,0.3424759787,0.6059715715,0.0040983117,0.0892502953,0.906528764
