,From,To,Mid,District,Floor,Top,BF_RUD,BF_RUD_AV,BF_RUD_TV,BF_INT,BF_INT_AV,BF_INT_TV,BF_ADV,BF_ADV_AV,BF_ADV_TV,CHH_RUD,CHH_RUD_AV,CHH_RUD_TV,CHH_INT,CHH_INT_AV,CHH_INT_TV,CHH_ADV,CHH_ADV_AV,CHH_ADV_TV,FC_RUD,FC_RUD_AV,FC_RUD_TV,FC_INT,FC_INT_AV,FC_INT_TV,MSW_RUD,MSW_RUD_AV,MSW_RUD_TV,MSW_INT,MSW_INT_AV,MSW_INT_TV,MSW_ADV,MSW_ADV_AV,MSW_ADV_TV,MSL_RUD,MSL_RUD_AV,MSL_RUD_TV,MSL_INT,MSL_INT_AV,MSL_INT_TV,EMP_UN,EMP_UN_AV,EMP_UN_TV,EMP_AL,EMP_AL_AV,EMP_AL_TV,EMP_NAL,EMP_NAL_AV,EMP_NAL_TV
30,0,0.30000000000000004,0.15000000000000002,590,32.88734408553906,45.507291145903224,0.0,0.0,15.0,6.666666666666667,1.0,15.0,93.33333333333333,14.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,33.33333333333333,5.0,15.0,66.66666666666666,10.0,15.0,80.0,12.0,15.0,6.666666666666667,1.0,15.0,13.333333333333334,2.0,15.0
31,0,0.30000000000000004,0.15000000000000002,591,10.048340104658148,32.42432349056191,0.0,0.0,44.0,2.272727272727273,1.0,44.0,97.72727272727273,43.0,44.0,81.81818181818183,36.0,44.0,18.181818181818183,8.0,44.0,0.0,0.0,44.0,100.0,44.0,44.0,0.0,0.0,44.0,100.0,44.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,4.545454545454546,2.0,44.0,95.45454545454545,42.0,44.0,6.8181818181818175,3.0,44.0,0.0,0.0,44.0,93.18181818181817,41.0,44.0
32,0,0.30000000000000004,0.15000000000000002,592,57.553265517529965,88.08223100206783,0.0,0.0,50.0,18.0,9.0,50.0,82.0,41.0,50.0,68.0,34.0,50.0,32.0,16.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,14.000000000000002,7.0,50.0,0.0,0.0,50.0,86.0,43.0,50.0
33,0,0.30000000000000004,0.15000000000000002,593,43.505216021854096,66.60118515920946,5.769230769230769,3.0,52.0,55.769230769230774,29.0,52.0,38.46153846153847,20.0,52.0,36.53846153846153,19.0,52.0,61.53846153846154,32.0,52.0,1.9230769230769231,1.0,52.0,63.46153846153846,33.0,52.0,36.53846153846153,19.0,52.0,21.153846153846153,11.0,52.0,0.0,0.0,52.0,78.84615384615384,41.0,52.0,7.6923076923076925,4.0,52.0,92.3076923076923,48.0,52.0,5.769230769230769,3.0,52.0,9.615384615384617,5.0,52.0,84.61538461538461,44.0,52.0
34,0,0.30000000000000004,0.15000000000000002,594,52.21012483865696,79.29941021842707,0.0,0.0,107.0,14.018691588785046,15.0,107.0,85.98130841121495,92.0,107.0,58.87850467289719,63.0,107.0,41.1214953271028,44.0,107.0,0.0,0.0,107.0,24.299065420560748,26.0,107.0,75.70093457943925,81.0,107.0,85.98130841121495,92.0,107.0,3.7383177570093453,4.0,107.0,10.2803738317757,11.0,107.0,0.0,0.0,107.0,100.0,107.0,107.0,0.9345794392523363,1.0,107.0,0.0,0.0,107.0,99.06542056074767,106.0,107.0
35,0,0.30000000000000004,0.15000000000000002,595,5.985442911713947,32.77432925263738,0.0,0.0,49.0,34.69387755102041,17.0,49.0,65.3061224489796,32.0,49.0,65.3061224489796,32.0,49.0,34.69387755102041,17.0,49.0,0.0,0.0,49.0,59.183673469387756,29.0,49.0,40.816326530612244,20.0,49.0,97.95918367346938,48.0,49.0,0.0,0.0,49.0,2.0408163265306123,1.0,49.0,0.0,0.0,49.0,100.0,49.0,49.0,2.0408163265306123,1.0,49.0,0.0,0.0,49.0,97.95918367346938,48.0,49.0
36,0,0.30000000000000004,0.15000000000000002,596,3.631075209842181,14.787234613521642,0.0,0.0,19.0,26.31578947368421,5.0,19.0,73.68421052631578,14.0,19.0,10.526315789473683,2.0,19.0,89.47368421052632,17.0,19.0,0.0,0.0,19.0,100.0,19.0,19.0,0.0,0.0,19.0,94.73684210526315,18.0,19.0,0.0,0.0,19.0,5.263157894736842,1.0,19.0,0.0,0.0,19.0,100.0,19.0,19.0,26.31578947368421,5.0,19.0,15.789473684210526,3.0,19.0,57.89473684210527,11.0,19.0
37,0,0.30000000000000004,0.15000000000000002,597,2.5663192673185877,7.7078932707488885,0.0,0.0,32.0,15.625,5.0,32.0,84.375,27.0,32.0,68.75,22.0,32.0,31.25,10.0,32.0,0.0,0.0,32.0,28.125,9.0,32.0,71.875,23.0,32.0,96.875,31.0,32.0,0.0,0.0,32.0,3.125,1.0,32.0,0.0,0.0,32.0,100.0,32.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,100.0,32.0,32.0
38,0,0.30000000000000004,0.15000000000000002,598,2.654944845841716,8.680326775982284,0.0,0.0,35.0,8.571428571428571,3.0,35.0,91.42857142857143,32.0,35.0,74.28571428571429,26.0,35.0,25.71428571428571,9.0,35.0,0.0,0.0,35.0,5.714285714285714,2.0,35.0,94.28571428571428,33.0,35.0,68.57142857142857,24.0,35.0,2.857142857142857,1.0,35.0,28.57142857142857,10.0,35.0,0.0,0.0,35.0,100.0,35.0,35.0,8.571428571428571,3.0,35.0,0.0,0.0,35.0,91.42857142857143,32.0,35.0
39,0,0.30000000000000004,0.15000000000000002,599,2.16079077058668,8.749158007896645,0.0,0.0,20.0,60.0,12.0,20.0,40.0,8.0,20.0,65.0,13.0,20.0,35.0,7.0,20.0,0.0,0.0,20.0,30.0,6.0,20.0,70.0,14.0,20.0,90.0,18.0,20.0,0.0,0.0,20.0,10.0,2.0,20.0,0.0,0.0,20.0,100.0,20.0,20.0,10.0,2.0,20.0,0.0,0.0,20.0,90.0,18.0,20.0
