,State,District,Name,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL,ASSET
72,24,472,Sabar Kantha,3,3,1,1,1,2,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,2.0,4.0,2
73,24,473,Gandhinagar,3,3,1,3,3,3,5.0,1.0,6.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,6.0,1.0,4.0,6.0,3.0,1.0,4.0,3
74,24,474,Ahmadabad,3,3,1,3,3,3,2.0,4.0,5.0,2.0,5.0,1.0,3.0,4.0,4.0,1.0,4.0,6.0,1.0,1.0,6.0,3.0,1.0,4.0,3
75,24,475,Surendranagar,3,3,1,1,1,1,7.0,4.0,1.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,6.0,2.0,2.0,4.0,3
76,24,476,Rajkot,3,3,1,3,3,3,2.0,4.0,5.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,4.0,3
77,24,477,Jamnagar,3,3,1,3,3,3,3.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,4.0,3
78,24,478,Porbandar ,3,3,1,3,3,3,3.0,1.0,4.0,2.0,1.0,4.0,6.0,1.0,4.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,3
79,24,479,Junagadh,3,3,1,1,3,1,7.0,4.0,1.0,5.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,5.0,2.0,4.0,3
80,24,480,Amreli,3,3,1,3,3,1,7.0,4.0,5.0,2.0,4.0,1.0,5.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,3
81,24,481,Bhavnagar,3,3,1,3,3,3,3.0,4.0,5.0,5.0,1.0,4.0,6.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,6.0,2.0,1.0,4.0,3
82,24,482,Anand  ,3,3,1,3,3,1,2.0,4.0,5.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,1.0,4.0,6.0,6.0,1.0,4.0,2
83,24,483,Kheda,3,3,1,1,1,1,3.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,4.0,2
84,24,484,Panch Mahals,3,2,2,1,1,2,3.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,6.0,5.0,2.0,4.0,2
85,24,485,Dohad  ,3,1,2,1,1,2,3.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,2
86,24,486,Vadodara,3,3,1,3,3,3,6.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,5.0,2.0,4.0,3
87,24,487,Narmada,3,2,2,1,1,2,3.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0,1.0,1.0,6.0,4.0,2.0,4.0,2
88,24,488,Bharuch,3,3,1,3,3,1,5.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,1.0,4.0,3
89,24,489,The Dangs,2,2,1,1,1,2,7.0,1.0,1.0,5.0,1.0,4.0,3.0,7.0,1.0,2.0,2.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0,2
90,24,490,Navsari  ,3,3,1,3,3,3,2.0,4.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,6.0,1.0,2.0,4.0,3
91,24,491,Valsad,3,2,1,3,3,3,3.0,1.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0,3
92,24,492,Surat,3,3,1,3,3,3,5.0,1.0,6.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,4.0,3
93,24,493,Tapi,3,2,1,1,1,2,3.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,6.0,4.0,3.0,4.0,2
94,27,497,Nandurbar,2,3,2,1,1,2,3.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,5.0,4.0,4.0,3.0,4.0,2
95,27,498,Dhule,3,3,1,1,1,2,3.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,4.0,2
96,27,499,Jalgaon,3,3,1,3,1,2,3.0,1.0,4.0,5.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,3.0,4.0,2
97,27,500,Buldana,3,3,2,1,1,2,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,2
98,27,501,Akola,3,3,2,1,1,1,3.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,4.0,2.0,1.0,3.0,4.0,2
99,27,502,Washim,3,1,2,1,1,2,3.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,2
100,27,503,Amravati,3,3,2,1,3,1,3.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,2
101,27,504,Wardha,3,3,2,3,3,2,2.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,6.0,4.0,3.0,4.0,3
102,27,505,Nagpur,3,3,1,3,3,3,2.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,4.0,2.0,4.0,3
103,27,506,Bhandara,3,3,2,1,2,2,2.0,5.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,6.0,4.0,2.0,4.0,1
104,27,507,Gondiya,3,1,2,1,2,2,7.0,2.0,1.0,1.0,5.0,1.0,3.0,7.0,4.0,2.0,2.0,4.0,1.0,1.0,6.0,1.0,2.0,4.0,1
105,27,508,Gadchiroli,2,1,2,1,1,2,7.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,5.0,4.0,1.0,6.0,4.0,1
106,27,509,Chandrapur,3,3,2,1,1,2,3.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,2.0,4.0,1
107,27,510,Yavatmal,2,3,2,1,1,2,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,2.0,4.0,4.0,3.0,4.0,2
108,27,511,Nanded,3,3,2,1,1,2,3.0,1.0,4.0,4.0,2.0,1.0,6.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0,2.0,4.0,2
109,27,512,Hingoli,2,2,2,1,1,2,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,2
110,27,513,Parbhani,3,2,2,1,1,2,3.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,6.0,1.0,2
111,27,514,Jalna,3,3,2,1,1,2,6.0,2.0,4.0,4.0,2.0,1.0,6.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,2
112,27,515,Aurangabad,3,3,1,3,3,1,6.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,3
113,27,516,Nashik,3,3,1,3,3,2,6.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0,3
114,27,517,Thane,3,3,1,3,3,3,2.0,4.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,5.0,3
115,27,520,Raigarh,3,3,1,3,3,3,2.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,5.0,3
116,27,521,Pune,3,3,1,3,3,3,2.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,6.0,1.0,2.0,4.0,3
117,27,522,Ahmadnagar,3,3,1,1,1,2,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,5.0,1.0,1.0,5.0,4.0,2.0,4.0,3
118,27,523,Bid,3,3,2,1,1,2,3.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0,2
119,27,524,Latur,3,3,2,1,1,2,3.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0,2
120,27,525,Osmanabad,2,3,2,1,1,2,3.0,4.0,4.0,4.0,5.0,1.0,6.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2
121,27,526,Solapur,2,3,1,1,1,2,3.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,1
122,27,527,Satara,3,3,1,3,2,2,1.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,4.0,3
123,27,528,Ratnagiri,3,3,1,1,3,1,7.0,1.0,6.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0,2.0,4.0,2
