,District,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL
157,588,4.0,1.0,6.0,6.0,1.0,1.0,2.0,7.0,5.0,3.0,7.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0
158,589,4.0,1.0,6.0,6.0,1.0,1.0,3.0,7.0,4.0,3.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,6.0
159,590,4.0,1.0,3.0,1.0,6.0,1.0,6.0,7.0,1.0,3.0,7.0,1.0,1.0,4.0,3.0,6.0,4.0,1.0
160,591,4.0,1.0,3.0,6.0,1.0,1.0,3.0,7.0,1.0,3.0,7.0,1.0,1.0,4.0,3.0,1.0,1.0,6.0
161,592,4.0,4.0,3.0,3.0,4.0,1.0,6.0,7.0,1.0,3.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,6.0
162,593,7.0,5.0,2.0,1.0,5.0,1.0,6.0,7.0,1.0,2.0,7.0,5.0,1.0,4.0,3.0,1.0,4.0,3.0
163,594,4.0,4.0,6.0,5.0,2.0,1.0,1.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,6.0
164,595,4.0,2.0,3.0,2.0,4.0,1.0,5.0,7.0,2.0,3.0,7.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0
165,596,1.0,1.0,6.0,4.0,6.0,1.0,6.0,7.0,7.0,6.0,7.0,1.0,1.0,1.0,6.0,4.0,1.0,5.0
166,597,4.0,4.0,6.0,5.0,2.0,1.0,1.0,7.0,5.0,3.0,7.0,4.0,1.0,1.0,7.0,1.0,1.0,6.0
167,598,4.0,1.0,6.0,5.0,1.0,1.0,1.0,7.0,6.0,2.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,6.0
168,599,4.0,2.0,5.0,2.0,4.0,1.0,1.0,7.0,3.0,3.0,7.0,4.0,1.0,1.0,7.0,1.0,1.0,6.0
169,600,4.0,4.0,6.0,6.0,1.0,1.0,1.0,7.0,6.0,3.0,7.0,4.0,1.0,1.0,7.0,1.0,1.0,6.0
170,601,4.0,2.0,6.0,5.0,2.0,1.0,2.0,7.0,5.0,3.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,6.0
